Company,Available Email(s),Type,Email Status,Email Used,Email Source,Email Error
Codup,[hello@codup.co](mailto:hello@codup.co),Contact,Sent,hello@codup.co,from-table,
Digismoothie,[hello@digismoothie.com](mailto:hello@digismoothie.com),Contact,Sent,hello@digismoothie.com,from-table,
Eastside Co,[hello@eastsideco.com](mailto:hello@eastsideco.com),Contact,Sent,hello@eastsideco.com,from-table,
Charle Agency,[hello@charle.co.uk](mailto:hello@charle.co.uk),Contact,Sent,hello@charle.co.uk,from-table,
Superco,[hello@superco.io](mailto:hello@superco.io),Contact,Sent,hello@superco.io,from-table,
Fostr,[hello@fostr.io](mailto:hello@fostr.io),Contact,Sent,hello@fostr.io,from-table,
Ask Phill,[hello@askphill.com](mailto:hello@askphill.com),Contact,Sent,hello@askphill.com,from-table,
Blend Commerce,[hello@blendcommerce.com](mailto:hello@blendcommerce.com),Contact,Sent,hello@blendcommerce.com,from-table,
WebDesk Solution,"[career@webdesksolution.com](mailto:career@webdesksolution.com), [info@webdesksolution.com](mailto:info@webdesksolution.com)",Careers / Contact,Sent,career@webdesksolution.com,from-table,
HulkApps,"[careers@hulkapps.com](mailto:careers@hulkapps.com), [support@hulkapps.com](mailto:support@hulkapps.com)",Careers / Support,Sent,careers@hulkapps.com,from-table,
Exinent LLC,"[careers@exinent.com](mailto:careers@exinent.com), [info@exinent.com](mailto:info@exinent.com)",Careers / Contact,Sent,careers@exinent.com,from-table,
CodeClouds,"[jobs@codeclouds.com](mailto:jobs@codeclouds.com), [contact@codeclouds.com](mailto:contact@codeclouds.com)",Jobs / Contact,Sent,jobs@codeclouds.com,from-table,
Aalpha Information Systems,"[careers@aalpha.net](mailto:careers@aalpha.net), [contact@aalpha.net](mailto:contact@aalpha.net)",Careers / Contact,Sent,careers@aalpha.net,from-table,
TechGropse,"[hr@techgropse.com](mailto:hr@techgropse.com), [info@techgropse.com](mailto:info@techgropse.com)",HR / Contact,Sent,hr@techgropse.com,from-table,
Xtreem Solution,"[hr@xtreemsolution.com](mailto:hr@xtreemsolution.com), [info@xtreemsolution.com](mailto:info@xtreemsolution.com)",HR / Contact,Sent,hr@xtreemsolution.com,from-table,
BrainSpate,"[careers@brainspate.com](mailto:careers@brainspate.com), [hello@brainspate.com](mailto:hello@brainspate.com)",Careers / Contact,Sent,careers@brainspate.com,from-table,
Aglowid IT Solutions,"[hr@aglowiditsolutions.com](mailto:hr@aglowiditsolutions.com), [info@aglowiditsolutions.com](mailto:info@aglowiditsolutions.com)",HR / Contact,Sent,hr@aglowiditsolutions.com,from-table,
Zestard Technologies,"[careers@zestard.com](mailto:careers@zestard.com), [info@zestard.com](mailto:info@zestard.com)",Careers / Contact,Sent,careers@zestard.com,from-table,
Evlop Infotech,"[careers@evlopinfotech.com](mailto:careers@evlopinfotech.com), [info@evlopinfotech.com](mailto:info@evlopinfotech.com)",Careers / Contact,Sent,careers@evlopinfotech.com,from-table,
CartCoders,"[hr@cartcoders.com](mailto:hr@cartcoders.com), [sales@cartcoders.com](mailto:sales@cartcoders.com)",HR / Sales,Sent,hr@cartcoders.com,from-table,
Viha Digital Commerce,"[careers@vihadigital.com](mailto:careers@vihadigital.com), [info@vihadigital.com](mailto:info@vihadigital.com)",Careers / Contact,Sent,careers@vihadigital.com,from-table,
W3trends,"[hr@w3trends.com](mailto:hr@w3trends.com), [info@w3trends.com](mailto:info@w3trends.com)",HR / Contact,Sent,hr@w3trends.com,from-table,
Owebest Technologies,"[hr@owebest.com](mailto:hr@owebest.com), [sales@owebest.com](mailto:sales@owebest.com)",HR / Sales,Sent,hr@owebest.com,from-table,
Silicon Dales,[hello@silicondales.com](mailto:hello@silicondales.com),Contact,Sent,hello@silicondales.com,from-table,
DigitalSuits,"[hello@digitalsuits.co](mailto:hello@digitalsuits.co), [careers@digitalsuits.co](mailto:careers@digitalsuits.co)",Contact / Careers,Sent,hello@digitalsuits.co,from-table,
Coalition Technologies,"[careers@coalitiontechnologies.com](mailto:careers@coalitiontechnologies.com), [sales@coalitiontechnologies.com](mailto:sales@coalitiontechnologies.com)",Careers / Sales,,,,
OpenXcell,"[careers@openxcell.com](mailto:careers@openxcell.com), [info@openxcell.com](mailto:info@openxcell.com)",Careers / Contact,,,,
Elsner Technologies USA,[us@elsner.com](mailto:us@elsner.com),US Contact,,,,
