| Company                    | Available Email(s)                                                                                                               | Type              |
| -------------------------- | -------------------------------------------------------------------------------------------------------------------------------- | ----------------- |
| Codup          | [hello@codup.co](mailto:hello@codup.co)                   | Contact |
| Digismoothie   | [hello@digismoothie.com](mailto:hello@digismoothie.com)   | Contact |
| Eastside Co    | [hello@eastsideco.com](mailto:hello@eastsideco.com)       | Contact |
| Charle Agency  | [hello@charle.co.uk](mailto:hello@charle.co.uk)           | Contact |
| Superco        | [hello@superco.io](mailto:hello@superco.io)               | Contact |
| Fostr          | [hello@fostr.io](mailto:hello@fostr.io)                   | Contact |
| Ask Phill      | [hello@askphill.com](mailto:hello@askphill.com)           | Contact |
| Blend Commerce | [hello@blendcommerce.com](mailto:hello@blendcommerce.com) | Contact |


| WebDesk Solution           | [career@webdesksolution.com](mailto:career@webdesksolution.com), [info@webdesksolution.com](mailto:info@webdesksolution.com)     | Careers / Contact |
| HulkApps                   | [careers@hulkapps.com](mailto:careers@hulkapps.com), [support@hulkapps.com](mailto:support@hulkapps.com)                         | Careers / Support |
| Exinent LLC                | [careers@exinent.com](mailto:careers@exinent.com), [info@exinent.com](mailto:info@exinent.com)                                   | Careers / Contact |
| CodeClouds                 | [jobs@codeclouds.com](mailto:jobs@codeclouds.com), [contact@codeclouds.com](mailto:contact@codeclouds.com)                       | Jobs / Contact    |
| Aalpha Information Systems | [careers@aalpha.net](mailto:careers@aalpha.net), [contact@aalpha.net](mailto:contact@aalpha.net)                                 | Careers / Contact |
| TechGropse                 | [hr@techgropse.com](mailto:hr@techgropse.com), [info@techgropse.com](mailto:info@techgropse.com)                                 | HR / Contact      |
| Xtreem Solution            | [hr@xtreemsolution.com](mailto:hr@xtreemsolution.com), [info@xtreemsolution.com](mailto:info@xtreemsolution.com)                 | HR / Contact      |
| BrainSpate                 | [careers@brainspate.com](mailto:careers@brainspate.com), [hello@brainspate.com](mailto:hello@brainspate.com)                     | Careers / Contact |
| Aglowid IT Solutions       | [hr@aglowiditsolutions.com](mailto:hr@aglowiditsolutions.com), [info@aglowiditsolutions.com](mailto:info@aglowiditsolutions.com) | HR / Contact      |
| Zestard Technologies       | [careers@zestard.com](mailto:careers@zestard.com), [info@zestard.com](mailto:info@zestard.com)                                   | Careers / Contact |

| Evlop Infotech          | [careers@evlopinfotech.com](mailto:careers@evlopinfotech.com), [info@evlopinfotech.com](mailto:info@evlopinfotech.com)                                   | Careers / Contact |
| CartCoders              | [hr@cartcoders.com](mailto:hr@cartcoders.com), [sales@cartcoders.com](mailto:sales@cartcoders.com)                                                       | HR / Sales        |
| Viha Digital Commerce   | [careers@vihadigital.com](mailto:careers@vihadigital.com), [info@vihadigital.com](mailto:info@vihadigital.com)                                           | Careers / Contact |
| W3trends                | [hr@w3trends.com](mailto:hr@w3trends.com), [info@w3trends.com](mailto:info@w3trends.com)                                                                 | HR / Contact      |
| Owebest Technologies    | [hr@owebest.com](mailto:hr@owebest.com), [sales@owebest.com](mailto:sales@owebest.com)                                                                   | HR / Sales        |
| Silicon Dales           | [hello@silicondales.com](mailto:hello@silicondales.com)                                                                                                  | Contact           |
| DigitalSuits            | [hello@digitalsuits.co](mailto:hello@digitalsuits.co), [careers@digitalsuits.co](mailto:careers@digitalsuits.co)                                         | Contact / Careers |
| Coalition Technologies  | [careers@coalitiontechnologies.com](mailto:careers@coalitiontechnologies.com), [sales@coalitiontechnologies.com](mailto:sales@coalitiontechnologies.com) | Careers / Sales   |
| OpenXcell               | [careers@openxcell.com](mailto:careers@openxcell.com), [info@openxcell.com](mailto:info@openxcell.com)                                                   | Careers / Contact |
| Elsner Technologies USA | [us@elsner.com](mailto:us@elsner.com)                                                                                                                    | US Contact        |
